StopId,Code,Name,StopType,Zone,Ward,AddressNo,Street,SupportDisability,Status,Lng,Lat,Search,Routes_Outbound,Routes_Inbound,Total_Routes,Both_Directions,HasSupport
3749,Q9 141,Chung Cư C3,Ô sơn,TP. Thủ Đức - KV2,Phường Tăng Nhơn Phú A,152,Man Thiện,No,Đang khai thác,106.791115,10.853095,CCC 152 MT,,76,1,No,False
1088,BX 71,Cầu Kênh Lộ,Bến xe,Huyện Nhà Bè,Xã Hiệp Phước,Đầu bến kênh lộ,Nguyễn Văn Tạo,No,Đang khai thác,106.742727,10.598307,CKL Dbkl NVT,72,72,2,Yes,False
2775,Q12 078,Cao su Vina,Trụ dừng,Quận 12,,67/3A,Quốc lộ 1A,No,Đang khai thác,106.648536,10.861767,CsV 67/3A Ql1A,,62,1,No,False
3707,Q9 120,Trường Mầm non,Trụ dừng,TP. Thủ Đức - KV2,,Trường mầm non Trường Thạnh,Lò Lu,No,Đang khai thác,106.816083,10.826093,TMn TmnTT LL,76,,1,No,False
3779,QBT 169,Chùa Bình An,Nhà chờ,Quận Bình Tân,,4401-4403,Nguyễn Cửu Phú,No,Đang khai thác,106.584072,10.744571,CBA 4401-4403 NCP,,73,1,No,False
1928,HHM 019,Ngã tư Bà Điểm,Trụ dừng,Huyện Hóc Môn,Xã Bà Điểm,57/7B,Quốc lộ 1A,No,Đang khai thác,106.605804,10.832674,NtBD 57/7B Ql1A,,151,1,No,False
1814,QBT 238,Siêu thị,Trụ dừng,Quận Bình Tân,Phường Bình Trị Đông A,Đ/d 42 (số 53),Lê Văn Qưới,No,Đang khai thác,106.61923,10.774311,St D42(53) LVQ,41,,1,No,False
1006,Q10 090,Trường THPT Nguyễn Du,Trụ dừng,Quận 10,,XX1,Đồng Nai,No,Đang khai thác,106.662399,10.779224,TTND X DN,,103,1,No,False
575,QTD 146,Trạm Cầu ngang,Biển treo,TP. Thủ Đức - KV3,,569,Kha Vạn Cân,No,Đang khai thác,106.751587,10.847199,TCn 569 KVC,57,93,2,Yes,False
2919,QTP 023,Trạm Trường Tiểu Học Lê Lai,Trụ dừng,Quận Tân Phú,Phường Tây Thạnh,237,Tây Thạnh,No,Đang khai thác,106.622345,10.812798,TTTHLL 237 TT,41,,1,No,False
3330,HBC 044,Công ty Phạm Nguyên,Trụ dừng,Huyện Bình Chánh,,Cột điện T104P (Đối diện 611),Trần Đại Nghĩa,No,Đang khai thác,106.575258,10.730926,CtPN CdT(d611) TDN,61,,1,No,False
3721,HBC 075,Đường dẫn Cao tốc,Ô sơn,Huyện Bình Chánh,,C2/17E,Bùi Thanh Khiết,No,Đang khai thác,106.576781,10.684162,DdCt C BTK,73,,1,No,False
7919,TPTĐ 051,Lexington Residence,Trụ dừng,TP. Thủ Đức - KV1,Phường An Phú,Nằm giữa Lexington Residence với Volkswagen An Phú,Mai Chí Thọ,Có,Đang khai thác,106.752434,10.798072,LR NgLRvVAP MCT,153,99,2,Yes,True
923,QGV 158,UBND Quận Gò Vấp,Trụ dừng,Quận Gò Vấp,,328,Quang Trung,No,Đang khai thác,106.669232,10.83103,UQGV 328 QT,103,,1,No,False
3059,QBTH 084,Trường Trung học cơ sở Phú Mỹ,Nhà chờ,Quận Bình Thạnh,,010 Lô A,Ngô Tất Tố,No,Đang khai thác,106.712587,10.792433,TThcsPM 010LA NTT,,44,1,No,False
1403,BX44,Bến xe Miền Đông,Bến xe,Quận Bình Thạnh,,Bến xe Miền Đông,Đinh Bộ Lĩnh,No,Đang khai thác,106.711294,10.814733,BxMD BxMD DBL,146,146,2,Yes,False
627,Q6 044,Vòng xoay Phú Lâm,Trụ dừng,Quận 6,,528,Kinh Dương Vương,No,Đang khai thác,106.633365,10.753346,VxPL 528 KDV,"9, 84",,2,No,False
3720,BX 57,Chợ Bình Chánh,Bến xe,Huyện Bình Chánh,,ĐẦU BẾN CHỢ BÌNH CHÁNH,Quốc lộ 1A,No,Đang khai thác,106.571535,10.665484,CBC DBCBC Ql1A,73,73,2,Yes,False
2950,Q4 038,Trường Chính trị Quận 4,Trụ dừng,Quận 4,,Đối diện 002,Tân Vĩnh,No,Đang khai thác,106.700168,10.759444,TCtQ4 Dd002 TV,44,,1,No,False
