StopId,Code,Name,StopType,Zone,Ward,AddressNo,Street,SupportDisability,Status,Lng,Lat,Search,Routes_Outbound,Routes_Inbound,Total_Routes,Both_Directions,HasSupport
33,BX 06,Công Trường Mê Linh,Bến xe,Quận 1,Phường Bến Nghé,Công trường Mê Linh,Thi Sách,No,Đang khai thác,106.705856,10.77679,CTML CtML TS,1,1,2,Yes,False
574,QTD 177,Khu DL Suối Tiên,Nhà chờ,TP. Thủ Đức - KV3,Phường Linh Trung,9/29,Quốc lộ 1,No,Đang khai thác,106.801116,10.86605,KDST 9/29 Ql1,,"76, 93, 99",3,No,False
3740,QBT 172,Trạm y tế phường Tân Tạo,Ô sơn,Quận Bình Tân,,4430,Nguyễn Cửu Phú,No,Đang khai thác,106.586604,10.755644,TytpTT 4430 NCP,73,,1,No,False
2970,QBTH 021,Khu du lịch Bình Quới,Trụ dừng,Quận Bình Thạnh,,520,Bình Quới,No,Đang khai thác,106.737912,10.828332,KdlBQ 520 BQ,44,,1,No,False
1925,QBTH 060,Vòng xoay Hàng Xanh,Nhà chờ,Quận Bình Thạnh,,442,Điện Biên Phủ,No,Đang khai thác,106.710269,10.80108,VxHX 442 DBP,93,,1,No,False
1204,Q7 073,Trà My,Trụ dừng,Quận 7,Phường Tân Phong,645,Nguyễn Hữu Thọ,No,Đang khai thác,106.700243,10.729419,TM 645 NHT,72,,1,No,False
4052,Q9 156,UBND P.Phú Hữu,Trụ dừng,TP. Thủ Đức - KV2,,877,Nguyễn Duy Trinh,No,Đang khai thác,106.79786,10.791405,UPH 877 NDT,,88,1,No,False
3571,QTP 043,Trạm Phạm Văn Xảo,Trụ dừng,Quận Tân Phú,Phường Phú Thọ Hoà,451,Vườn Lài,No,Đang khai thác,106.623377,10.788296,TPVX 451 VL,,69,1,No,False
208,Q12 055,Ngã tư Ga,Trụ dừng,Quận 12,,141-143A,Hà Huy Giáp,No,Đang khai thác,106.679649,10.857984,NtG 141-143A HHG,,161,1,No,False
3129,HBC 208,Trường chuyên biệt Rạng Đông,Trụ dừng,Huyện Bình Chánh,,A12/366 (A12/363),Quốc lộ 50,No,Đang khai thác,106.651261,10.683149,TcbRD A( Ql50,,47,1,No,False
2837,Q10 067,Bệnh viện 115,Trụ dừng,Quận 10,,99-101,Thành Thái,No,Đang khai thác,106.664554,10.77382,Bv115 99-101 TT,,69,1,No,False
4588,HHM 0490,Công ty Suất ăn công nghiệp,Trụ dừng,Huyện Hóc Môn,Xã Xuân Thới Đông,43/1,Quốc lộ 22,No,Đang khai thác,106.594666,10.872947,CtSacn 43/1 Ql22,,74,1,No,False
1670,Q12 001,Metro Hiệp Phú,Trụ dừng,Quận 12,,48,Lê Văn Khương,No,Đang khai thác,106.649705,10.863711,MHP 48 LVK,62,,1,No,False
632,QBT 016,SinCo,Nhà chờ,Quận Bình Tân,,Đối diện nhà trọ Thanh Trường,Kinh Dương Vương,No,Đang khai thác,106.611028,10.731674,S DdntTT KDV,"9, 61, 84, 151",102,5,Yes,False
483,Q9 213,Khu QLGTDT số 2,Nhà chờ,TP. Thủ Đức - KV2,,Khu QLGTĐT số 2,Võ Nguyên Giáp,No,Đang khai thác,106.76415,10.831921,KQs2 KQs2 VNG,6,,1,No,False
166,BX41,Bến xe An Sương,Bến xe,Quận 12,,Bến xe An Sương,Quốc lộ 22,No,Đang khai thác,106.61337280273438,10.843737602233888,BxAS BxAS Ql22,"4, 41, 65, 74, 151","4, 41, 65, 74, 151",10,Yes,False
617,Q8 110,Tùng Thiện Vương,Trụ dừng,Quận 8,,388,Tùng Thiện Vương,No,Đang khai thác,106.656926,10.74483,TTV 388 TTV,47,62,2,Yes,False
1900,QBT 066,Trạm cân số 1,Ô sơn,Quận Bình Tân,Phường Bình Hưng Hòa,497,Quốc lộ 1A,No,Đang khai thác,106.598716,10.804131,Tcs1 497 Ql1A,151,,1,No,False
1494,QTD 046,Chùa Vạn Hạnh,Trụ dừng,TP. Thủ Đức - KV3,Phường Tam Phú,571-573 (583),Tô Ngọc Vân,No,Đang khai thác,106.741839,10.864554,CVH 571-573( TNV,,"29, 141",2,No,False
